date,region_id,type_id,average,lowest,highest,volume,order_count
2020-03-30,10000001,19,500,500,500,654,1
2020-03-30,10000001,20,202,202,202,32,1
2020-03-30,10000001,34,6.16,6.16,6.16,17809727,40
2020-03-30,10000001,35,5.15,5.15,5.15,6871130,24
2020-03-30,10000001,36,55,55,55,5100158,22
2020-03-30,10000001,37,20,15,20.01,1758258,22
2020-03-30,10000001,38,280.1,280.1,280.1,107071,19
2020-03-30,10000001,39,530,530,530,111435,14
2020-03-30,10000001,40,420,420,420,60952,15
2020-03-30,10000001,41,28.34,28.34,28.34,609,1
2020-03-30,10000001,200,170,170,170,500,1
2020-03-30,10000001,204,0.02,0.02,0.02,28,1
2020-03-30,10000001,205,0.02,0.02,0.02,5,1
2020-03-30,10000001,206,0.02,0.02,0.02,2,1
2020-03-30,10000001,209,67.51,67.51,67.51,1000,1
2020-03-30,10000001,210,15,15,15,4200,4
2020-03-30,10000001,211,11,11,11,3000,1
2020-03-30,10000001,212,20.08,20.08,20.08,2200,3
2020-03-30,10000001,213,0.02,0.02,0.02,100,1
2020-03-30,10000001,218,15.01,15.01,15.01,2000,1
2020-03-30,10000001,221,25.01,25.01,25.01,18000,2
2020-03-30,10000001,222,24.59,24.59,24.59,12500,6
2020-03-30,10000001,238,0.02,0.02,0.02,5000,2
2020-03-30,10000001,239,1.02,1.02,1.02,1,1
2020-03-30,10000001,241,1.05,1.05,1.05,1,1
2020-03-30,10000001,244,1.03,1.03,1.03,2,1
2020-03-30,10000001,245,1.03,1.03,1.03,1,1
2020-03-30,10000001,249,50.01,50.01,50.01,1,1
2020-03-30,10000001,250,85020,85020,85020,1,1
2020-03-30,10000001,252,10010,10010,10010,1,1
2020-03-30,10000001,254,7000.01,7000.01,7000.01,2,1
2020-03-30,10000001,266,3.21,3.21,3.21,100,1
2020-03-30,10000001,269,22,22,22,11000,2
2020-03-30,10000001,377,40852.5,15000,49470,4,2
2020-03-30,10000001,380,794033.3,99.89,1191000,3,3
2020-03-30,10000001,400,580000,580000,580000,1,1
2020-03-30,10000001,434,163200,139800,250100,4,4
2020-03-30,10000001,439,500.01,500.01,500.01,10,1
2020-03-30,10000001,444,16060.01,8800.01,23320,2,2
2020-03-30,10000001,448,2651000,2651000,2651000,1,1
2020-03-30,10000001,482,686450,7900,1365000,4,2
2020-03-30,10000001,483,17666.67,16500,20000.01,3,2
2020-03-30,10000001,499,7900,7900,7900,4,1
2020-03-30,10000001,527,1630500,1280000,1981000,2,2
2020-03-30,10000001,578,241100,241100,241100,3,2
2020-03-30,10000001,583,440000,440000,440000,1,1
2020-03-30,10000001,585,295000,295000,295000,54,3
2020-03-30,10000001,587,1,1,1,1,1
2020-03-30,10000001,589,440000,440000,440000,1,1
2020-03-30,10000001,592,1,1,1,2,1
2020-03-30,10000001,597,345000,345000,345000,137,2
2020-03-30,10000001,598,300000,300000,300000,16,1
2020-03-30,10000001,603,414000,414000,414000,1,1
2020-03-30,10000001,605,490000,490000,490000,3,3
2020-03-30,10000001,607,272967,1,409450,3,3
2020-03-30,10000001,608,117250,31000,376000,8,3
2020-03-30,10000001,621,300000,300000,300000,1,1
2020-03-30,10000001,623,11000000,11000000,11000000,1,1
2020-03-30,10000001,625,5000000,5000000,5000000,1,1
2020-03-30,10000001,628,10000000,10000000,10000000,1,1
2020-03-30,10000001,632,900000,900000,900000,1,1
2020-03-30,10000001,641,85000000,85000000,85000000,1,1
2020-03-30,10000001,643,227900000,227900000,227900000,1,1
2020-03-30,10000001,649,1376000,11000,2741000,2,2
2020-03-30,10000001,650,1271666.67,507500,2800000,3,3
2020-03-30,10000001,652,1400000.01,1400000.01,1400000.01,1,1
2020-03-30,10000001,654,1400000.01,1400000.01,1400000.01,1,1
2020-03-30,10000001,655,1000000,1000000,1000000,1,1
2020-03-30,10000001,656,1261000,491500,2800000,3,3
2020-03-30,10000001,657,4025000,1850000,6200000,2,2
2020-03-30,10000001,672,45150.2,45150.2,45150.2,1,1
2020-03-30,10000001,785,92720,92720,92720,1,1
2020-03-30,10000001,834,20000,20000,20000,1,1
2020-03-30,10000001,1230,25,25,25,486378,12
2020-03-30,10000001,1236,975777.78,920000,1171000,9,3
2020-03-30,10000001,1317,17500,17500,17500,2,1
2020-03-30,10000001,1319,835792.59,430000,950000,27,8
2020-03-30,10000001,1405,998950.95,550000,1250000,24,14
2020-03-30,10000001,1539,53010,53010,53010,1,1
2020-03-30,10000001,1824,300,300,300,5000,1
2020-03-30,10000001,1830,198.01,198.01,198.01,1,1
2020-03-30,10000001,1877,1408558.79,1408558.79,1408558.79,1,1
2020-03-30,10000001,1952,1640666.67,1250000,1836000,6,2
2020-03-30,10000001,1964,1490000,1490000,1490000,2,1
2020-03-30,10000001,1973,75930,75930,75930,1,1
2020-03-30,10000001,1986,17000.01,17000.01,17000.01,2,2
2020-03-30,10000001,1998,55000,55000,55000,1,1
